loss_b:0.7761, loss_b_eval:0.7748, train loss:0.4592, train acc:0.8946, train acc ori:0.9560,          eval acc:91.1200, time elapsed:1717.9709, epoch 96 train cleaned, 4516 samples changed,          total remain noise:5601, max class noise:891
loss_b:0.7756, loss_b_eval:0.7707, train loss:0.4720, train acc:0.8919, train acc ori:0.9562,          eval acc:91.3800, time elapsed:1736.1849, epoch 97 train cleaned, 4673 samples changed,          total remain noise:5344, max class noise:796
loss_b:0.7770, loss_b_eval:0.7759, train loss:0.4519, train acc:0.8959, train acc ori:0.9559,          eval acc:91.6700, time elapsed:1754.4594, epoch 98 train cleaned, 4470 samples changed,          total remain noise:5557, max class noise:869
loss_b:0.7743, loss_b_eval:0.7732, train loss:0.4666, train acc:0.8917, train acc ori:0.9551,          eval acc:91.1400, time elapsed:1773.2401, epoch 99 train cleaned, 4677 samples changed,          total remain noise:5379, max class noise:790
loss_b:0.7757, loss_b_eval:0.7716, train loss:0.4509, train acc:0.8998, train acc ori:0.9587,          eval acc:91.6300, time elapsed:1791.7789, epoch 100 train cleaned, 4475 samples changed,          total remain noise:5359, max class noise:791
loss_b:0.7730, loss_b_eval:0.7661, train loss:0.4044, train acc:0.9056, train acc ori:0.9601,          eval acc:91.8200, time elapsed:1810.2051, epoch 101 train cleaned, 4360 samples changed,          total remain noise:5303, max class noise:740
loss_b:0.7741, loss_b_eval:0.7690, train loss:0.4020, train acc:0.9091, train acc ori:0.9589,          eval acc:91.6900, time elapsed:1829.0416, epoch 102 train cleaned, 4152 samples changed,          total remain noise:5550, max class noise:760
loss_b:0.7720, loss_b_eval:0.7645, train loss:0.3994, train acc:0.9048, train acc ori:0.9589,          eval acc:91.6600, time elapsed:1847.5098, epoch 103 train cleaned, 4274 samples changed,          total remain noise:5366, max class noise:743
loss_b:0.7744, loss_b_eval:0.7703, train loss:0.3918, train acc:0.9090, train acc ori:0.9568,          eval acc:91.7900, time elapsed:1866.0001, epoch 104 train cleaned, 4146 samples changed,          total remain noise:5554, max class noise:720
loss_b:0.7729, loss_b_eval:0.7661, train loss:0.3906, train acc:0.9070, train acc ori:0.9582,          eval acc:91.8400, time elapsed:1884.5952, epoch 105 train cleaned, 4240 samples changed,          total remain noise:5338, max class noise:720
loss_b:0.7745, loss_b_eval:0.7694, train loss:0.3788, train acc:0.9109, train acc ori:0.9568,          eval acc:91.6200, time elapsed:1902.8949, epoch 106 train cleaned, 4043 samples changed,          total remain noise:5603, max class noise:724
loss_b:0.7721, loss_b_eval:0.7650, train loss:0.3904, train acc:0.9054, train acc ori:0.9566,          eval acc:91.4700, time elapsed:1921.4570, epoch 107 train cleaned, 4203 samples changed,          total remain noise:5385, max class noise:704
loss_b:0.7733, loss_b_eval:0.7701, train loss:0.3717, train acc:0.9114, train acc ori:0.9546,          eval acc:91.6700, time elapsed:1940.3881, epoch 108 train cleaned, 4024 samples changed,          total remain noise:5620, max class noise:697
loss_b:0.7724, loss_b_eval:0.7658, train loss:0.3809, train acc:0.9081, train acc ori:0.9559,          eval acc:91.2200, time elapsed:1958.8495, epoch 109 train cleaned, 4169 samples changed,          total remain noise:5397, max class noise:696
loss_b:0.7733, loss_b_eval:0.7686, train loss:0.3636, train acc:0.9124, train acc ori:0.9539,          eval acc:91.2300, time elapsed:1977.4786, epoch 110 train cleaned, 3896 samples changed,          total remain noise:5702, max class noise:700
loss_b:0.7720, loss_b_eval:0.7650, train loss:0.3858, train acc:0.9053, train acc ori:0.9537,          eval acc:91.2700, time elapsed:1996.1623, epoch 111 train cleaned, 4274 samples changed,          total remain noise:5367, max class noise:695
loss_b:0.7733, loss_b_eval:0.7676, train loss:0.3555, train acc:0.9143, train acc ori:0.9542,          eval acc:90.9700, time elapsed:2014.7396, epoch 112 train cleaned, 3926 samples changed,          total remain noise:5630, max class noise:690
loss_b:0.7717, loss_b_eval:0.7654, train loss:0.3741, train acc:0.9084, train acc ori:0.9527,          eval acc:91.0600, time elapsed:2033.3975, epoch 113 train cleaned, 4152 samples changed,          total remain noise:5435, max class noise:695
loss_b:0.7733, loss_b_eval:0.7675, train loss:0.3548, train acc:0.9135, train acc ori:0.9522,          eval acc:90.9800, time elapsed:2051.8975, epoch 114 train cleaned, 3781 samples changed,          total remain noise:5771, max class noise:686
loss_b:0.7714, loss_b_eval:0.7642, train loss:0.3750, train acc:0.9081, train acc ori:0.9515,          eval acc:91.0100, time elapsed:2070.7778, epoch 115 train cleaned, 4186 samples changed,          total remain noise:5388, max class noise:704
loss_b:0.7731, loss_b_eval:0.7678, train loss:0.3427, train acc:0.9157, train acc ori:0.9511,          eval acc:90.9500, time elapsed:2089.5816, epoch 116 train cleaned, 3788 samples changed,          total remain noise:5750, max class noise:698
loss_b:0.7713, loss_b_eval:0.7636, train loss:0.3659, train acc:0.9091, train acc ori:0.9501,          eval acc:90.8100, time elapsed:2107.9509, epoch 117 train cleaned, 4032 samples changed,          total remain noise:5540, max class noise:695
loss_b:0.7720, loss_b_eval:0.7671, train loss:0.3457, train acc:0.9147, train acc ori:0.9499,          eval acc:91.0100, time elapsed:2126.3152, epoch 118 train cleaned, 3750 samples changed,          total remain noise:5795, max class noise:696
loss_b:0.7720, loss_b_eval:0.7647, train loss:0.3601, train acc:0.9102, train acc ori:0.9492,          eval acc:90.5800, time elapsed:2144.9071, epoch 119 train cleaned, 4072 samples changed,          total remain noise:5469, max class noise:681
